sec_from_start,pts_time,tc_seconds,tc_str
623,623.0,50881.367033333336,14:08:01:22
624,624.0,50882.367033333336,14:08:02:22
625,625.0,50883.367033333336,14:08:03:22
626,626.0,50884.367033333336,14:08:04:22
627,627.0,50885.367033333336,14:08:05:22
628,628.0,50886.367033333336,14:08:06:22
629,629.0,50887.367033333336,14:08:07:22
630,630.0,50888.367033333336,14:08:08:22
631,631.0,50889.367033333336,14:08:09:22
632,632.0,50890.367033333336,14:08:10:22
633,633.0,50891.367033333336,14:08:11:22
634,634.0,50892.367033333336,14:08:12:22
635,635.0,50893.367033333336,14:08:13:22
636,636.0,50894.367033333336,14:08:14:22
637,637.0,50895.367033333336,14:08:15:22
638,638.0,50896.367033333336,14:08:16:22
639,639.0,50897.367033333336,14:08:17:22
640,640.0,50898.367033333336,14:08:18:22
641,641.0,50899.367033333336,14:08:19:22
642,642.0,50900.367033333336,14:08:20:22
643,643.0,50901.367033333336,14:08:21:22
644,644.0,50902.367033333336,14:08:22:22
645,645.0,50903.367033333336,14:08:23:22
646,646.0,50904.367033333336,14:08:24:22
647,647.0,50905.367033333336,14:08:25:22
648,648.0,50906.367033333336,14:08:26:22
649,649.0,50907.367033333336,14:08:27:22
650,650.0,50908.367033333336,14:08:28:22
651,651.0,50909.367033333336,14:08:29:22
652,652.0,50910.367033333336,14:08:30:22
653,653.0,50911.367033333336,14:08:31:22
654,654.0,50912.367033333336,14:08:32:22
655,655.0,50913.367033333336,14:08:33:22
656,656.0,50914.367033333336,14:08:34:22
657,657.0,50915.367033333336,14:08:35:22
658,658.0,50916.367033333336,14:08:36:22
659,659.0,50917.367033333336,14:08:37:22
660,660.0,50918.367033333336,14:08:38:22
661,661.0,50919.367033333336,14:08:39:22
662,662.0,50920.367033333336,14:08:40:22
663,663.0,50921.367033333336,14:08:41:22
664,664.0,50922.367033333336,14:08:42:22
665,665.0,50923.367033333336,14:08:43:22
666,666.0,50924.367033333336,14:08:44:22
667,667.0,50925.367033333336,14:08:45:22
668,668.0,50926.367033333336,14:08:46:22
669,669.0,50927.367033333336,14:08:47:22
670,670.0,50928.367033333336,14:08:48:22
671,671.0,50929.367033333336,14:08:49:22
672,672.0,50930.367033333336,14:08:50:22
673,673.0,50931.367033333336,14:08:51:22
674,674.0,50932.367033333336,14:08:52:22
675,675.0,50933.367033333336,14:08:53:22
676,676.0,50934.367033333336,14:08:54:22
677,677.0,50935.367033333336,14:08:55:22
678,678.0,50936.367033333336,14:08:56:22
679,679.0,50937.367033333336,14:08:57:22
680,680.0,50938.367033333336,14:08:58:22
681,681.0,50939.367033333336,14:08:59:22
682,682.0,50940.367033333336,14:09:00:22
683,683.0,50941.367033333336,14:09:01:22
684,684.0,50942.367033333336,14:09:02:22
685,685.0,50943.367033333336,14:09:03:22
686,686.0,50944.367033333336,14:09:04:22
687,687.0,50945.367033333336,14:09:05:22
688,688.0,50946.367033333336,14:09:06:22
689,689.0,50947.367033333336,14:09:07:22
690,690.0,50948.367033333336,14:09:08:22
691,691.0,50949.367033333336,14:09:09:22
692,692.0,50950.367033333336,14:09:10:22
693,693.0,50951.367033333336,14:09:11:22
694,694.0,50952.367033333336,14:09:12:22
695,695.0,50953.367033333336,14:09:13:22
696,696.0,50954.367033333336,14:09:14:22
697,697.0,50955.367033333336,14:09:15:22
698,698.0,50956.367033333336,14:09:16:22
699,699.0,50957.367033333336,14:09:17:22
700,700.0,50958.367033333336,14:09:18:22
701,701.0,50959.367033333336,14:09:19:22
702,702.0,50960.367033333336,14:09:20:22
703,703.0,50961.367033333336,14:09:21:22
704,704.0,50962.367033333336,14:09:22:22
705,705.0,50963.367033333336,14:09:23:22
706,706.0,50964.367033333336,14:09:24:22
707,707.0,50965.367033333336,14:09:25:22
