window_id,start_idx_in_video_subset,end_idx_in_video_subset,start_time,end_time
88,8800,8999,2025-07-17 14:00:34,2025-07-17 14:00:37.980
89,8900,9099,2025-07-17 14:00:36,2025-07-17 14:00:39.980
90,9000,9199,2025-07-17 14:00:38,2025-07-17 14:00:41.980
91,9100,9299,2025-07-17 14:00:40,2025-07-17 14:00:43.980
92,9200,9399,2025-07-17 14:00:42,2025-07-17 14:00:45.980
93,9300,9499,2025-07-17 14:00:44,2025-07-17 14:00:47.980
94,9400,9599,2025-07-17 14:00:46,2025-07-17 14:00:49.980
95,9500,9699,2025-07-17 14:00:48,2025-07-17 14:00:51.980
96,9600,9799,2025-07-17 14:00:50,2025-07-17 14:00:53.980
97,9700,9899,2025-07-17 14:00:52,2025-07-17 14:00:55.980
98,9800,9999,2025-07-17 14:00:54,2025-07-17 14:00:57.980
99,9900,10099,2025-07-17 14:00:56,2025-07-17 14:00:59.980
100,10000,10199,2025-07-17 14:00:58,2025-07-17 14:01:01.980
101,10100,10299,2025-07-17 14:01:00,2025-07-17 14:01:03.980
102,10200,10399,2025-07-17 14:01:02,2025-07-17 14:01:05.980
103,10300,10499,2025-07-17 14:01:04,2025-07-17 14:01:07.980
104,10400,10599,2025-07-17 14:01:06,2025-07-17 14:01:09.980
105,10500,10699,2025-07-17 14:01:08,2025-07-17 14:01:11.980
106,10600,10799,2025-07-17 14:01:10,2025-07-17 14:01:13.980
107,10700,10899,2025-07-17 14:01:12,2025-07-17 14:01:15.980
108,10800,10999,2025-07-17 14:01:14,2025-07-17 14:01:17.980
109,10900,11099,2025-07-17 14:01:16,2025-07-17 14:01:19.980
110,11000,11199,2025-07-17 14:01:18,2025-07-17 14:01:21.980
111,11100,11299,2025-07-17 14:01:20,2025-07-17 14:01:23.980
112,11200,11399,2025-07-17 14:01:22,2025-07-17 14:01:25.980
113,11300,11499,2025-07-17 14:01:24,2025-07-17 14:01:27.980
114,11400,11599,2025-07-17 14:01:26,2025-07-17 14:01:29.980
115,11500,11699,2025-07-17 14:01:28,2025-07-17 14:01:31.980
116,11600,11799,2025-07-17 14:01:30,2025-07-17 14:01:33.980
117,11700,11899,2025-07-17 14:01:32,2025-07-17 14:01:35.980
118,11800,11999,2025-07-17 14:01:34,2025-07-17 14:01:37.980
119,11900,12099,2025-07-17 14:01:36,2025-07-17 14:01:39.980
120,12000,12199,2025-07-17 14:01:38,2025-07-17 14:01:41.980
121,12100,12299,2025-07-17 14:01:40,2025-07-17 14:01:43.980
122,12200,12399,2025-07-17 14:01:42,2025-07-17 14:01:45.980
123,12300,12499,2025-07-17 14:01:44,2025-07-17 14:01:47.980
124,12400,12599,2025-07-17 14:01:46,2025-07-17 14:01:49.980
125,12500,12699,2025-07-17 14:01:48,2025-07-17 14:01:51.980
126,12600,12799,2025-07-17 14:01:50,2025-07-17 14:01:53.980
127,12700,12899,2025-07-17 14:01:52,2025-07-17 14:01:55.980
128,12800,12999,2025-07-17 14:01:54,2025-07-17 14:01:57.980
129,12900,13099,2025-07-17 14:01:56,2025-07-17 14:01:59.980
130,13000,13199,2025-07-17 14:01:58,2025-07-17 14:02:01.980
131,13100,13299,2025-07-17 14:02:00,2025-07-17 14:02:03.980
132,13200,13399,2025-07-17 14:02:02,2025-07-17 14:02:05.980
133,13300,13499,2025-07-17 14:02:04,2025-07-17 14:02:07.980
134,13400,13599,2025-07-17 14:02:06,2025-07-17 14:02:09.980
135,13500,13699,2025-07-17 14:02:08,2025-07-17 14:02:11.980
136,13600,13799,2025-07-17 14:02:10,2025-07-17 14:02:13.980
137,13700,13899,2025-07-17 14:02:12,2025-07-17 14:02:15.980
138,13800,13999,2025-07-17 14:02:14,2025-07-17 14:02:17.980
139,13900,14099,2025-07-17 14:02:16,2025-07-17 14:02:19.980
140,14000,14199,2025-07-17 14:02:18,2025-07-17 14:02:21.980
141,14100,14299,2025-07-17 14:02:20,2025-07-17 14:02:23.980
142,14200,14399,2025-07-17 14:02:22,2025-07-17 14:02:25.980
143,14300,14499,2025-07-17 14:02:24,2025-07-17 14:02:27.980
144,14400,14599,2025-07-17 14:02:26,2025-07-17 14:02:29.980
145,14500,14699,2025-07-17 14:02:28,2025-07-17 14:02:31.980
146,14600,14799,2025-07-17 14:02:30,2025-07-17 14:02:33.980
147,14700,14899,2025-07-17 14:02:32,2025-07-17 14:02:35.980
148,14800,14999,2025-07-17 14:02:34,2025-07-17 14:02:37.980
149,14900,15099,2025-07-17 14:02:36,2025-07-17 14:02:39.980
150,15000,15199,2025-07-17 14:02:38,2025-07-17 14:02:41.980
151,15100,15299,2025-07-17 14:02:40,2025-07-17 14:02:43.980
